# build.sh 가 읽는다. cardmap.py 가 만들고 사람이 손본다 (T34).
# 카드id	섹션(0based)	판정	점수	차점	앞면	섹션제목
# 판정 OK = 자동 확정 · CHECK = 눈으로 볼 것 · NONE = 잇지 않는다
ch09-card-리눅스로그파일5가지	12	OK	15.1	2.7	**리눅스 로그 파일 5가지**	(13) 로그 분석
ch09-card-보안솔루션9가지	13	OK	28.4	4.5	**보안 솔루션 9가지**	(14) 보안 솔루션
ch09-card-IDS분류위치별	13	OK	12.6	2.5	**IDS 분류 — 위치별**	(14) 보안 솔루션
ch09-card-IDS분류탐지방식별	13	OK	13.4	2.5	**IDS 분류 — 탐지 방식별**	(14) 보안 솔루션
ch09-card-ISO27001	11	OK	11.9	0.7	**ISO 27001**	(12) 보안 아키텍처와 보안 프레임워크
ch10-card-C자료형크기	0	SEEN	4.7	5.8	**C 자료형 크기**	(1) 데이터 타입과 변수
ch10-card-기억클래스4가지	0	OK	13.2	8.0	**기억 클래스 4가지**	(1) 데이터 타입과 변수
ch10-card-연산자우선순위	1	OK	20.7	2.0	**연산자 우선순위**	(2) 연산자
ch10-card-증감연산자	1	OK	15.0	2.7	**증감 연산자**	(2) 연산자
ch10-card-switch	2	OK	10.5	2.0	**switch**	(3) 제어문
ch10-card-whilevsdowhile	2	SEEN	5.0	5.6	**while vs do~while**	(3) 제어문
ch10-card-breakvscontinue	2	OK	11.5	4.6	**break vs continue**	(3) 제어문
ch10-card-배열인덱스	3	OK	9.7	4.6	**배열 인덱스**	(4) 배열과 문자열
ch10-card-포인터연산자	4	SEEN	12.7	8.6	**포인터 연산자**	(5) 포인터
ch10-card-포인터배열등가	4	OK	15.4	5.1	**포인터-배열 등가**	(5) 포인터
ch10-card-구조체접근	5	OK	19.3	2.5	**구조체 접근**	(6) 구조체
ch10-card-매개변수전달	6	OK	10.6	3.3	**매개변수 전달**	(7) 사용자 정의 함수
ch10-card-Java접근제어자	7	OK	18.1	5.5	**Java 접근 제어자**	(8) Java의 클래스
ch10-card-오버로딩vs오버라이딩	8	OK	24.5	1.7	**오버로딩 vs 오버라이딩**	(9) Java의 상속과 다형성
ch10-card-추상클래스vs인터페이스	8	OK	16.1	8.2	**추상 클래스 vs 인터페이스**	(9) Java의 상속과 다형성
ch10-card-Python자료형4가지	9	OK	16.1	5.9	**Python 자료형 4가지**	(10) Python의 활용
ch10-card-Python슬라이싱	9	OK	17.4	4.8	**Python 슬라이싱**	(10) Python의 활용
ch10-card-Pythonrange	9	OK	16.5	6.5	**Python range**	(10) Python의 활용
ch10-card-절차적언어5가지	10	OK	16.7	1.7	**절차적 언어 5가지**	(11) 프로그래밍 언어의 분류
ch10-card-객체지향언어3가지	10	OK	12.1	3.7	**객체 지향 언어 3가지**	(11) 프로그래밍 언어의 분류
ch10-card-서버용스크립트언어4가지	10	OK	14.7	2.8	**서버용 스크립트 언어 4가지**	(11) 프로그래밍 언어의 분류
ch10-card-클라이언트용스크립트언어2가지	10	OK	12.3	1.7	**클라이언트용 스크립트 언어 2가지**	(11) 프로그래밍 언어의 분류
ch10-card-선언형언어분류	10	OK	22.6	2.0	**선언형 언어 분류**	(11) 프로그래밍 언어의 분류
ch10-card-주요C헤더파일5가지	11	SEEN	8.4	5.4	**주요 C 헤더 파일 5가지**	(12) 라이브러리
ch10-card-주요Java패키지5가지	11	SEEN	9.3	8.9	**주요 Java 패키지 5가지**	(12) 라이브러리
ch10-card-예외처리블록	12	OK	14.3	2.4	**예외 처리 블록**	(13) 예외 처리
ch10-card-주요예외클래스4가지	12	SEEN	9.6	6.1	**주요 예외 클래스 4가지**	(13) 예외 처리
ch11-card-OS성능평가	0	OK	14.4	3.2	**OS 성능 평가**	(1) 운영체제의 개념과 종류
ch11-card-UNIX시스템구성3가지	0	SEEN	12.3	9.9	**UNIX 시스템 구성 3가지**	(1) 운영체제의 개념과 종류
ch11-card-기억장치관리전략3가지	1	SEEN	14.7	10.0	**기억장치 관리 전략 3가지**	(2) 기억장치 관리
ch11-card-기억장치배치전략3가지	1	OK	17.3	8.9	**기억장치 배치 전략 3가지**	(2) 기억장치 관리
ch11-card-단편화	1	OK	11.7	4.7	**단편화**	(2) 기억장치 관리
ch11-card-가상기억장치	2	OK	20.1	5.0	**가상기억장치**	(3) 가상기억장치
ch11-card-페이지교체알고리즘6가지	2	OK	15.6	5.1	**페이지 교체 알고리즘 6가지**	(3) 가상기억장치
ch11-card-Locality	2	OK	11.5	1.4	**Locality**	(3) 가상기억장치
ch11-card-스래싱	2	OK	10.4	1.1	**스래싱**	(3) 가상기억장치
ch11-card-프로세스상태전이4가지	3	OK	15.9	7.0	**프로세스 상태 전이 4가지**	(4) 프로세스와 스케줄링
ch11-card-비선점스케줄링5가지	3	OK	20.4	3.0	**비선점 스케줄링 5가지**	(4) 프로세스와 스케줄링
ch11-card-선점스케줄링4가지	3	OK	17.7	4.0	**선점 스케줄링 4가지**	(4) 프로세스와 스케줄링
ch11-card-HRN공식	3	OK	7.4	1.2	**HRN 공식**	(4) 프로세스와 스케줄링
ch11-card-chmod	5	OK	9.4	1.9	**chmod**	(6) 환경 변수와 기본 명령어
ch11-card-IPv6	8	OK	27.4	1.5	**IPv6**	(9) 인터넷과 IP 주소
ch11-card-서브넷의사용가능호스트수공식	8	SEEN	4.0	2.9	**서브넷의 사용 가능 호스트 수 공식**	(9) 인터넷과 IP 주소
ch11-card-OSI7계층순서	9	SEEN	16.5	19.6	**OSI 7계층 순서**	(10) OSI 참조 모델
ch11-card-계층별장비	10	OK	13.3	5.9	**계층별 장비**	(11) 네트워크 장비
ch11-card-TCPvsUDP	11	OK	33.5	7.2	**TCP vs UDP**	(12) TCP/IP
ch11-card-ARPRARP	11	OK	13.3	1.3	**ARP / RARP**	(12) TCP/IP
ch11-card-경로제어프로토콜3가지	12	SEEN	9.5	6.2	**경로 제어 프로토콜 3가지**	(13) 경로 제어와 트래픽 제어
ch11-card-트래픽제어3가지	12	OK	18.5	3.9	**트래픽 제어 3가지**	(13) 경로 제어와 트래픽 제어
ch11-card-RAID	13	OK	14.4	1.9	**RAID**	(14) 소프트웨어·하드웨어·네트워크 신기술
ch11-card-OLAP연산5가지	13	OK	10.1	2.3	**OLAP 연산 5가지**	(14) 소프트웨어·하드웨어·네트워크 신기술
ch11-card-맵리듀스	13	OK	6.5	0.4	**맵리듀스**	(14) 소프트웨어·하드웨어·네트워크 신기술
ch11-card-고유식별정보4가지	14	OK	7.1	2.5	**고유식별정보 4가지**	(15) 소프트웨어 개발 보안과 관련 법령
ch11-card-병행제어문제4가지	6	OK	14.6	4.1	**병행 제어 문제 4가지**	(7) 회복과 병행 제어
ch11-card-병행제어기법4가지	6	OK	15.4	3.3	**병행 제어 기법 4가지**	(7) 회복과 병행 제어
ch11-card-로킹단위	6	OK	8.3	2.3	**로킹 단위**	(7) 회복과 병행 제어
ch11-card-교착상태4조건	4	OK	14.5	5.5	**교착 상태 4조건**	(5) 교착 상태
ch11-card-교착상태해결방법4가지	4	OK	17.5	3.7	**교착 상태 해결 방법 4가지**	(5) 교착 상태
ch11-card-데이터표준화대상4가지	7	OK	15.3	3.6	**데이터 표준화 대상 4가지**	(8) 데이터 표준화
ch12-card-패키징원칙	0	OK	12.9	7.4	**패키징 원칙**	(1) 소프트웨어 패키징
ch12-card-패키징고려사항4가지	0	OK	13.8	5.3	**패키징 고려사항 4가지**	(1) 소프트웨어 패키징
ch12-card-패키징순서7단계	0	OK	16.5	8.6	**패키징 순서 7단계**	(1) 소프트웨어 패키징
ch12-card-릴리즈노트Header항목6가지	1	OK	21.3	3.4	**릴리즈 노트 Header 항목 6가지**	(2) 릴리즈 노트 작성
ch12-card-DRM구성요소7가지	2	OK	27.7	4.2	**DRM 구성 요소 7가지**	(3) 디지털 저작권 관리(DRM)
ch12-card-DRM기술요소8가지	2	OK	23.0	3.0	**DRM 기술 요소 8가지**	(3) 디지털 저작권 관리(DRM)
ch12-card-설치사용자매뉴얼	4	SEEN	14.2	12.8	**설치/사용자 매뉴얼**	(5) 소프트웨어 사용자 매뉴얼 작성
ch12-card-형상관리절차4단계	5	OK	8.4	2.6	**형상 관리 절차 4단계**	(6) 소프트웨어 버전 등록
ch12-card-형상관리적용범위	5	OK	5.7	3.0	**형상 관리 적용 범위**	(6) 소프트웨어 버전 등록
ch12-card-버전등록용어6가지	5	OK	12.2	6.2	**버전 등록 용어 6가지**	(6) 소프트웨어 버전 등록
ch12-card-버전등록과정5단계	5	OK	10.9	4.0	**버전 등록 과정 5단계**	(6) 소프트웨어 버전 등록
ch12-card-공유폴더방식도구4가지	6	OK	7.9	2.6	**공유 폴더 방식 도구 4가지**	(7) 소프트웨어 버전 관리 도구
ch12-card-클라이언트서버방식도구4가지	6	OK	7.9	3.0	**클라이언트·서버 방식 도구 4가지**	(7) 소프트웨어 버전 관리 도구
ch12-card-분산저장소방식도구4가지	6	SEEN	7.2	4.8	**분산 저장소 방식 도구 4가지**	(7) 소프트웨어 버전 관리 도구
ch12-card-CVS한계	6	OK	7.2	0.5	**CVS 한계**	(7) 소프트웨어 버전 관리 도구
ch12-card-Git을만든사람	7	SEEN	8.0	6.4	**Git 을 만든 사람**	(8) Git 명령어 활용
ch12-card-Git영역4가지	7	OK	13.3	4.2	**Git 영역 4가지**	(8) Git 명령어 활용
ch12-card-fetchvspull	7	OK	10.9	1.4	**fetch vs pull**	(8) Git 명령어 활용
ch12-card-빌드도구4가지	8	OK	15.6	3.4	**빌드 도구 4가지**	(9) 빌드 자동화 도구
ch12-card-CICD	8	OK	21.2	2.1	**CI / CD**	(9) 빌드 자동화 도구
